+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                  adc_clk |                  adc_clk |                                                            system_i/brownNoise_0/inst/arg__4_i_14_psdsp/D|
|                  adc_clk |                  adc_clk |                                                             system_i/brownNoise_0/inst/arg__4_i_3_psdsp/D|
|                  adc_clk |                  adc_clk |                                                            system_i/brownNoise_0/inst/arg__3_i_12_psdsp/D|
|                  adc_clk |                  adc_clk |                                                            system_i/brownNoise_0/inst/output_sf_reg[-3]/D|
|                  adc_clk |                  adc_clk |                                                             system_i/brownNoise_0/inst/arg__4_i_5_psdsp/D|
|                  adc_clk |                  adc_clk |                                                           system_i/brownNoise_0/inst/arg__4_i_7_psdsp_1/D|
|                  adc_clk |                  adc_clk |                                                             system_i/brownNoise_0/inst/arg__3_i_6_psdsp/D|
|                  adc_clk |                  adc_clk |                                                           system_i/brownNoise_0/inst/arg__4_i_3_psdsp_1/D|
|                  adc_clk |                  adc_clk |                                                            system_i/brownNoise_0/inst/arg__4_i_13_psdsp/D|
|                  adc_clk |                  adc_clk |                                                          system_i/brownNoise_0/inst/arg__4_i_13_psdsp_1/D|
|                  adc_clk |                  adc_clk |                                                           system_i/brownNoise_0/inst/output_sf_reg[-12]/D|
|                  adc_clk |                  adc_clk |                                                             system_i/brownNoise_0/inst/arg__3_i_8_psdsp/D|
|                  adc_clk |                  adc_clk |                                                           system_i/brownNoise_0/inst/output_sf_reg[-11]/D|
|                  adc_clk |                  adc_clk |                                                           system_i/brownNoise_0/inst/arg__4_i_5_psdsp_1/D|
|                  adc_clk |                  adc_clk |                                                             system_i/brownNoise_0/inst/arg__4_i_7_psdsp/D|
|                  adc_clk |                  adc_clk |                                                             system_i/brownNoise_0/inst/output_sf_reg[0]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
